,Event.Id,Investigation.Type,Event.Date,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured
85644,20200928102046,Accident,2020-04-03,Non-Fatal,No Damage,Helicopter,ROBINSON,R44,No,0.0,0.0,0.0,1.0
85650,20200407X53436,Accident,2020-04-06,Non-Fatal,Substantial,Helicopter,ROBINSON,R22,No,0.0,0.0,0.0,1.0
85652,20200407X92127,Accident,2020-04-06,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,0.0,0.0,0.0,1.0
85659,20200413X74513,Accident,2020-04-09,Non-Fatal,Substantial,Helicopter,AEROSPATIALE,SA341,No,0.0,0.0,0.0,1.0
85686,20200421X54925,Accident,2020-04-20,Fatal,Substantial,Helicopter,GARLICK,UH1H,No,1.0,0.0,0.0,0.0
85688,20200422X94542,Accident,2020-04-20,Non-Fatal,Destroyed,Helicopter,SIKORSKY,S61,No,0.0,0.0,3.0,0.0
85693,20200423X73125,Accident,2020-04-22,Non-Fatal,Substantial,Helicopter,ROBINSON,R22,No,0.0,0.0,0.0,2.0
85700,20200424X03125,Accident,2020-04-24,Fatal,Substantial,Helicopter,BELL,UH 1H,No,1.0,0.0,1.0,0.0
85708,20200427X63502,Accident,2020-04-25,Non-Fatal,Substantial,Helicopter,HUGHES,369,No,0.0,0.0,0.0,1.0
85721,20200730X44715,Accident,2020-05-01,Not Mentioned,Substantial,Helicopter,SIKORSKY,S76,No,0.0,0.0,0.0,0.0
85723,20200502X73540,Accident,2020-05-02,Fatal,Substantial,Helicopter,MD HELICOPTER,369,No,1.0,0.0,1.0,0.0
85728,20200504X54503,Incident,2020-05-03,Non-Fatal,No Damage,Helicopter,AIRBUS HELICOPTERS,AS350,No,0.0,0.0,0.0,1.0
85750,20200511X31917,Accident,2020-05-10,Non-Fatal,Substantial,Helicopter,BELL,UH 1N,No,0.0,4.0,0.0,0.0
85758,20200514X71849,Accident,2020-05-14,Non-Fatal,Substantial,Helicopter,BELL,OH-58C,No,0.0,0.0,0.0,2.0
